Color_exterior,Color_interior,Comfort,Entertainment,Extras,Fuel,Gearbox,Initial_registration,Mileage,Owners,Power,Security,Seller,price
Rot,,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bordcomputer,MP3,Radio","Anhängerkupplung,Innenspiegel automatisch abblendend,Scheinwerferreinigung,Skisack",Benzin,Automatik,08/2008,178000,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Kurvenlicht,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Xenonscheinwerfer,Zentralverriegelung",Privat,4000
Grau,,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Pannenkit,Scheinwerferreinigung,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen,Winterpaket",Benzin,Schaltgetriebe,08/2021,70000,2,100 kW (136 PS),"ABS,Abstandswarner,Alarmanlage,Beifahrerairbag,Blendfreies Fernlicht,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,16300
Schwarz,,"Armlehne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Schiebedach,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bordcomputer,CD,Radio","Alufelgen,Innenspiegel automatisch abblendend,Raucherpaket,Sportpaket",Benzin,Schaltgetriebe,03/2008,196000,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Zentralverriegelung",Privat,3650
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,USB","Alufelgen,Innenspiegel automatisch abblendend,Sommerreifen,Stahlfelgen,Winterreifen",Benzin,Automatik,07/2015,109000,,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,14900
Blau,Schwarz,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederausstattung,Lederlenkrad,Sitzheizung,Start/Stop-Automatik","Bluetooth,Bordcomputer,CD,Radio,USB","Alufelgen,Gepäckraumabtrennung,Sommerreifen,Sportfahrwerk",Benzin,Schaltgetriebe,07/2012,131000,,125 kW (170 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Wegfahrsperre,Zentralverriegelung",Händler,6500
Grau,Schwarz,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bordcomputer,CD,MP3,Radio","Allwetterreifen,Alufelgen (16""),Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Katalysator,Scheinwerferreinigung,Sportpaket",Benzin,Automatik,03/2008,116500,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Kurvenlicht,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,9890
Blau,Schwarz,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Elektrische Sitze,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,Radio,USB","Alufelgen,Sportpaket,Sportsitze,Touchscreen",Benzin,Schaltgetriebe,12/2019,45000,1,103 kW (140 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Verkehrszeichenerkennung,Zentralverriegelung",Händler,24995
Weiß,Vollleder,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Elektrische Sitze,Klimaanlage,Klimaautomatik,Lederausstattung,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,Soundsystem,USB","Alufelgen,Ambientebeleuchtung,Gepäckraumabtrennung,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung",Benzin,Automatik,11/2019,59780,2,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,20990
Schwarz,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederausstattung,Lederlenkrad,Lichtsensor,Lordosenstütze,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Apple CarPlay,Bluetooth,Bordcomputer,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument","Alufelgen,Anhängerkupplung,Innenspiegel automatisch abblendend,Sportsitze,Sprachsteuerung,Touchscreen,Winterpaket",Benzin,Schaltgetriebe,07/2020,38727,1,103 kW (140 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Voll-LED Scheinwerfer,Wegfahrsperre,Zentralverriegelung",Händler,20900
Schwarz,,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Start/Stop-Automatik,Tempomat,Umklappbarer Beifahrersitz","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,MP3,Radio,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Allwetterreifen,Alufelgen,Elektronische Parkbremse,Sprachsteuerung,Touchscreen",Benzin,Schaltgetriebe,03/2024,26300,1,100 kW (136 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung mit Funkfernbedienung",Händler,23999
Schwarz,Stoff,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Sitzheizung,Start/Stop-Automatik,teilb. Rücksitzbank","Bluetooth,Bordcomputer,Freisprecheinrichtung,MP3,Radio","Alufelgen,Gepäckraumabtrennung,Sommerreifen,Winterpaket,Winterreifen",Diesel,Automatik,06/2019,85000,,110 kW (150 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Scheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,17000
Grau,Grau,"Armlehne,Berganfahrassistent,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bluetooth,Bordcomputer,Freisprecheinrichtung,MP3,Radio","Alufelgen,Ambientebeleuchtung,Anhängerkupplung,Innenspiegel automatisch abblendend,Spoiler,Sportfahrwerk,Sportsitze",Diesel,Automatik,11/2016,80000,2,110 kW (150 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Isofix,Kopfairbag,LED-Scheinwerfer,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,17500
Weiß,Stoff,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,Soundsystem,USB","Alufelgen,Ambientebeleuchtung,E10-geeignet,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Sommerreifen,Stahlfelgen,Winterreifen",Benzin,Automatik,12/2017,58996,,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,16950
Blau,,"Armlehne,Berganfahrassistent,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Regensensor,Start/Stop-Automatik,Umklappbarer Beifahrersitz","Bordcomputer,DAB-Radio,MP3,Radio,USB,W-Lan / Wifi Hotspot","Alufelgen,Elektronische Parkbremse,Partikelfilter",Diesel,Automatik,11/2020,15800,,110 kW (150 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,LED-Tagfahrlicht,Müdigkeitswarnsystem,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung mit Funkfernbedienung",Privat,24900
Schwarz,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Beheizbares Lenkrad,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Klimaanlage,Lederausstattung,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Android Auto,Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Sommerreifen,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen,Winterpaket",Benzin,Automatik,08/2021,75581,1,100 kW (136 PS),"ABS,Abstandswarner,Alarmanlage,Beifahrerairbag,Blendfreies Fernlicht,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Scheinwerfer,LED-Tagfahrlicht,Müdigkeitswarnsystem,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Totwinkel-Assistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,21890
Grau,Schwarz,"Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Heckklappe,Elektrische Seitenspiegel,Getönte Scheiben,Head-up display,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik","Apple CarPlay,Bluetooth,Bordcomputer,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,Musikstreaming integriert,Radio,Soundsystem,USB,Volldigitales Kombiinstrument,W-Lan / Wifi Hotspot","Alufelgen,Ambientebeleuchtung,Dachreling,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Scheinwerferreinigung,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Touchscreen",Benzin,Automatik,06/2021,32600,1,100 kW (136 PS),"ABS,Abstandstempomat,Abstandswarner,Alarmanlage,Beifahrerairbag,Blendfreies Fernlicht,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kurvenlicht,LED-Scheinwerfer,Nebelscheinwerfer,Notbremsassistent,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Totwinkel-Assistent,Traktionskontrolle,Verkehrszeichenerkennung,Wegfahrsperre,Zentralverriegelung",Händler,27399
Grau,Schwarz,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Regensensor,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Musikstreaming integriert,Radio,USB","Alufelgen,Innenspiegel automatisch abblendend,Notrad,Sommerreifen,Sportsitze,Winterreifen",Diesel,Automatik,06/2015,119800,2,110 kW (150 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,13990
Schwarz,Stoff,"2-Zonen-Klimaautomatik,Armlehne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Schlüssellose Zentralverriegelung,Sitzheizung","Bordcomputer,CD,Radio","Alufelgen,Innenspiegel automatisch abblendend,Sommerreifen",Diesel,Schaltgetriebe,01/2005,341400,2,90 kW (122 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Zentralverriegelung",Händler,1777
Weiß,,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Multifunktionslenkrad,Regensensor,Schlüssellose Zentralverriegelung,Start/Stop-Automatik,Tempomat",Freisprecheinrichtung,Behindertengerecht,Diesel,Automatik,07/2021,172532,,110 kW (150 PS),"ABS,Alarmanlage,Beifahrerairbag,Fahrerairbag,Isofix,Nebelscheinwerfer,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,17900
Schwarz,Sonstige,"Armlehne,Beheizbares Lenkrad,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Elektr. Fensterheber,Elektrische Seitenspiegel,Elektrische Sitze,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat,teilb. Rücksitzbank","Bordcomputer,CD,DAB-Radio,Freisprecheinrichtung,MP3,Radio,Soundsystem","Alufelgen,E10-geeignet,Innenspiegel automatisch abblendend,Raucherpaket,Reichweitenverlängerer,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Sprachsteuerung,Winterreifen",Benzin,Schaltgetriebe,02/2010,210000,,105 kW (143 PS),"ABS,Airbag hinten,Beifahrerairbag,ESP,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Traktionskontrolle,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,5799
Grau,Schwarz,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederausstattung,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,Soundsystem,USB","Allwetterreifen,Alufelgen,Ambientebeleuchtung,E10-geeignet,Innenspiegel automatisch abblendend,Pannenkit,Scheinwerferreinigung,Sportsitze,Sprachsteuerung",Benzin,Schaltgetriebe,05/2009,161700,1,105 kW (143 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Müdigkeitswarnsystem,Nebelscheinwerfer,Seitenairbag,Servolenkung,Wegfahrsperre,Xenonscheinwerfer,Zentralverriegelung",Händler,5999
Schwarz,Vollleder,"2-Zonen-Klimaautomatik,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Elektrische Sitze,Getönte Scheiben,Lederausstattung,Lederlenkrad,Multifunktionslenkrad,Navigationssystem,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bordcomputer,CD,MP3,Radio","Alufelgen,Notrad,Reichweitenverlängerer,Reserverad,Sommerreifen,Sportfahrwerk,Sportsitze",Benzin,Schaltgetriebe,02/2013,138988,,105 kW (143 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kopfairbag,Nebelscheinwerfer,Notbremsassistent,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung mit Funkfernbedienung",Händler,9950
Weiß,Stoff,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Musikstreaming integriert,Radio,USB","Alufelgen,Sommerreifen,Sportfahrwerk,Sportpaket,Sportsitze,Touchscreen",Benzin,Automatik,12/2018,108000,1,100 kW (136 PS),"ABS,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Kurvenlicht,LED-Scheinwerfer,LED-Tagfahrlicht,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,17990
Grau,Grau,"Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaanlage,Klimaautomatik,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Schlüssellose Zentralverriegelung,Sitzheizung,Start/Stop-Automatik","Bluetooth,Bordcomputer,CD,DAB-Radio,Freisprecheinrichtung,Induktionsladen für Smartphones,Radio,USB,W-Lan / Wifi Hotspot","Alufelgen,Anhängerkupplung,Innenspiegel automatisch abblendend,Skisack,Sommerreifen,Sportsitze,Sprachsteuerung",Diesel,Automatik,08/2019,150100,,110 kW (150 PS),"ABS,Abstandstempomat,Abstandswarner,Alarmanlage,Beifahrerairbag,Fahrerairbag,Fernlichtassistent,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Scheinwerfer,Nebelscheinwerfer,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Spurhalteassistent,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,14999
Grau,Grau,"Armlehne,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Klimaautomatik,Lederlenkrad,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik","Bordcomputer,CD,Freisprecheinrichtung,Radio","Alufelgen,Sportfahrwerk,Sportsitze",Benzin,Schaltgetriebe,12/2015,168000,1,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,Nebelscheinwerfer,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,11990
Schwarz,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Lordosenstütze,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik,Tempomat","Bluetooth,Bordcomputer,CD,Freisprecheinrichtung,Radio,USB","Allwetterreifen,Alufelgen,Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Sprachsteuerung",Benzin,Schaltgetriebe,03/2016,59850,1,100 kW (136 PS),"ABS,Alarmanlage,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,LED-Tagfahrlicht,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,14975
Rot,Braun,"Armlehne,Einparkhilfe,Einparkhilfe Kamera,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Einparkhilfe selbstlenkendes System,Elektr. Fensterheber,Elektrische Seitenspiegel,Getönte Scheiben,Klimaautomatik,Lederausstattung,Lederlenkrad,Lichtsensor,Multifunktionslenkrad,Navigationssystem,Regensensor,Sitzheizung,Start/Stop-Automatik","Bluetooth,Bordcomputer,Freisprecheinrichtung,Induktionsladen für Smartphones,MP3,Radio,USB,W-Lan / Wifi Hotspot","Alufelgen,E10-geeignet,Elektronische Parkbremse,Innenspiegel automatisch abblendend",Benzin,Automatik,01/2020,81056,1,103 kW (140 PS),"ABS,Abstandstempomat,Abstandswarner,Beifahrerairbag,ESP,Fahrerairbag,Geschwindigkeits-begrenzungsanlage,Isofix,Kopfairbag,Notrufsystem,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung,Zentralverriegelung mit Funkfernbedienung",Händler,17789
Grau,Schwarz,"2-Zonen-Klimaautomatik,Armlehne,Berganfahrassistent,Einparkhilfe,Einparkhilfe Sensoren hinten,Einparkhilfe Sensoren vorne,Elektr. Fensterheber,Elektrische Seitenspiegel,Klimaanlage,Lederlenkrad,Lichtsensor,Regensensor,Sitzheizung,Start/Stop-Automatik","Bordcomputer,CD,Radio,USB","Gepäckraumabtrennung,Innenspiegel automatisch abblendend,Sommerreifen,Stahlfelgen",Benzin,Schaltgetriebe,06/2015,98051,1,100 kW (136 PS),"ABS,Beifahrerairbag,ESP,Fahrerairbag,Isofix,LED-Scheinwerfer,Nebelscheinwerfer,Reifendruckkontrollsystem,Seitenairbag,Servolenkung,Tagfahrlicht,Traktionskontrolle,Wegfahrsperre,Zentralverriegelung",Händler,12190
